ticker,date,open,high,low,close
DESO,2023-01-01,6.22,7.3,6.22,6.82
DESO,2023-01-02,6.87,7.08,6.63,6.92
DESO,2023-01-03,6.85,6.9,6.48,6.49
DESO,2023-01-04,6.49,6.82,6.46,6.53
DESO,2023-01-05,6.56,6.65,6.35,6.47
DESO,2023-01-06,6.56,6.69,6.44,6.55
DESO,2023-01-07,6.57,6.75,6.47,6.66
DESO,2023-01-08,6.51,6.95,6.51,6.89
DESO,2023-01-09,6.81,7.0,6.65,6.88
DESO,2023-01-10,6.95,8.69,6.91,7.83
DESO,2023-01-11,7.35,8.05,7.35,7.69
DESO,2023-01-12,7.71,8.15,7.63,7.82
DESO,2023-01-13,7.8,8.31,7.69,8.31
DESO,2023-01-14,8.31,8.56,8.05,8.35
DESO,2023-01-15,8.39,9.54,8.36,9.28
DESO,2023-01-16,9.15,10.49,8.72,9.77
DESO,2023-01-17,9.77,10.47,9.67,10.21
DESO,2023-01-18,10.2,11.34,8.57,8.69
DESO,2023-01-19,8.68,9.83,8.68,9.05
DESO,2023-01-20,9.01,9.69,8.66,9.33
DESO,2023-01-21,9.35,9.94,9.31,9.67
DESO,2023-01-22,9.58,9.86,9.29,9.32
DESO,2023-01-23,9.38,9.86,9.2,9.86
DESO,2023-01-24,9.92,9.92,9.29,9.36
DESO,2023-01-25,9.42,9.9,9.31,9.83
DESO,2023-01-26,9.81,10.24,9.79,10.13
DESO,2023-01-27,10.13,10.2,9.74,9.84
DESO,2023-01-28,9.81,10.91,9.76,10.0
DESO,2023-01-29,10.04,11.02,9.98,10.31
DESO,2023-01-30,10.33,11.22,10.29,10.34
DESO,2023-01-31,10.33,10.74,10.21,10.29
DESO,2023-02-01,10.36,10.73,10.09,10.28
DESO,2023-02-02,10.33,10.91,10.27,10.62
DESO,2023-02-03,10.6,10.6,9.73,9.94
DESO,2023-02-04,9.95,10.16,9.88,10.14
DESO,2023-02-05,10.14,10.64,9.34,9.45
DESO,2023-02-06,9.5,9.93,9.26,9.47
DESO,2023-02-07,9.46,9.72,9.27,9.4
DESO,2023-02-08,9.42,9.54,9.16,9.27
DESO,2023-02-09,9.27,9.31,8.75,8.76
DESO,2023-02-10,8.82,8.96,8.76,8.76
DESO,2023-02-11,8.81,9.02,8.62,9.02
DESO,2023-02-12,9.04,9.11,8.75,8.78
DESO,2023-02-13,8.76,9.05,8.67,8.81
DESO,2023-02-14,8.76,9.01,8.72,8.86
DESO,2023-02-15,8.82,9.37,8.78,9.22
DESO,2023-02-16,9.2,9.37,8.99,9.11
DESO,2023-02-17,9.05,9.17,8.89,9.08
DESO,2023-02-18,9.13,9.59,9.1,9.33
DESO,2023-02-19,9.34,9.47,9.19,9.47
DESO,2023-02-20,9.43,9.43,9.01,9.05
DESO,2023-02-21,9.07,9.7,8.79,9.02
DESO,2023-02-22,9.01,9.3,8.69,9.14
DESO,2023-02-23,9.14,9.17,8.81,8.97
DESO,2023-02-24,9.03,9.06,8.85,8.86
DESO,2023-02-25,8.88,8.98,8.74,8.84
DESO,2023-02-26,8.78,9.0,8.78,8.95
DESO,2023-02-27,8.89,9.14393,8.78,8.87
DESO,2023-02-28,8.9,9.04,8.8,8.97
DESO,2023-03-01,9.05,9.18,9.01,9.07
DESO,2023-03-02,9.09,10.69,8.92,9.92
DESO,2023-03-03,9.8,10.71,8.79,8.89
DESO,2023-03-04,8.96,9.31,8.9,8.94
DESO,2023-03-05,8.95,10.84,8.88386,9.69
DESO,2023-03-06,9.68,10.41,9.25,9.8
DESO,2023-03-07,9.81,9.81,8.94,9.04
DESO,2023-03-08,9.11,9.11,8.89,8.89
DESO,2023-03-09,9.0225,9.20816,8.67107,8.67987
DESO,2023-03-10,8.72148,8.7743,8.43213,8.73659
DESO,2023-03-11,8.99,9.03,8.33,8.59
DESO,2023-03-12,8.52,8.89,8.52,8.71
DESO,2023-03-13,8.92224,9.38,8.72,9.38
DESO,2023-03-14,9.26,9.49,9.08,9.19
DESO,2023-03-15,9.22,9.32,9.09,9.26
DESO,2023-03-16,9.38,10.19,8.96,9.43
DESO,2023-03-17,9.39,9.61,9.26,9.46
DESO,2023-03-18,9.38,9.65,9.37,9.54
DESO,2023-03-19,9.44,9.51,9.35,9.35
DESO,2023-03-20,9.35,9.77,9.21,9.31
DESO,2023-03-21,9.34,9.48,9.22,9.4
DESO,2023-03-22,9.38,9.97,9.15,9.94
DESO,2023-03-23,9.91,10.57,9.2,9.33
DESO,2023-03-24,9.37,9.65,9.33,9.41
DESO,2023-03-25,9.51,9.76,9.41,9.74
DESO,2023-03-26,9.73,10.03,9.57,10.03
DESO,2023-03-27,10.1,10.84,9.65,9.79
DESO,2023-03-28,9.79,10.23,9.63,9.93
DESO,2023-03-29,10.12,10.24,9.53,10.06
DESO,2023-03-30,10.07,11.01,9.99,10.95
DESO,2023-03-31,10.9,11.22,10.5,11.07
DESO,2023-04-01,11.1,15.3,11.05,13.26
DESO,2023-04-02,13.28,13.78,11.47,11.88
DESO,2023-04-03,11.89,12.08,11.27,11.58
DESO,2023-04-04,11.82,13.46,11.54,12.64
DESO,2023-04-05,12.41,12.56,11.6,12.09
DESO,2023-04-06,12.13,12.51,11.75,11.85
DESO,2023-04-07,11.78,12.15,11.78,11.93
DESO,2023-04-08,11.88,12.0,11.12,11.25
DESO,2023-04-09,11.24,11.94,11.21,11.6
DESO,2023-04-10,11.69,11.76,11.16,11.38
DESO,2023-04-11,11.3,11.42,11.18,11.18
DESO,2023-04-12,11.16,11.44,11.1,11.29
DESO,2023-04-13,11.22,11.43,11.22,11.43
DESO,2023-04-14,11.37,12.32,11.37,12.17
DESO,2023-04-15,12.16,13.28,11.98,12.5
DESO,2023-04-16,12.6,13.19,12.33,12.76
DESO,2023-04-17,12.7,15.35,12.63,14.51
DESO,2023-04-18,14.49,14.66,13.63,14.37
DESO,2023-04-19,14.21,14.46,13.01,13.43
DESO,2023-04-20,13.31,13.31,12.23,12.51
DESO,2023-04-21,12.51,15.17,12.5,13.58
DESO,2023-04-22,13.56,14.14,13.2,14.03
DESO,2023-04-23,14.14,14.89,13.26,13.75
DESO,2023-04-24,13.87,14.27,13.7,13.93
DESO,2023-04-25,13.83,14.06,12.84,14.01
DESO,2023-04-26,14.17,14.5,13.75,14.24
DESO,2023-04-27,14.19,14.7,13.9,14.55
DESO,2023-04-28,14.59,14.75,12.86,14.12
DESO,2023-04-29,14.12,14.2,13.86,14.06
DESO,2023-04-30,13.3714,14.4649,13.1511,13.8977
DESO,2023-05-01,13.8954,13.8954,12.0169,13.82
DESO,2023-05-02,13.76,13.79,13.2,13.2
DESO,2023-05-03,13.35,13.47,13.11,13.22
DESO,2023-05-04,12.642,13.0203,12.1845,12.4461
DESO,2023-05-05,12.4213,13.58,12.4081,13.46
DESO,2023-05-06,13.43,13.43,11.51,11.91
DESO,2023-05-07,12.04,12.07,11.054,11.97
DESO,2023-05-08,11.1603,11.27,10.58,10.58
DESO,2023-05-09,10.4,10.84,10.02,10.73
DESO,2023-05-10,10.74,11.6,10.66,11.57
DESO,2023-05-11,11.59,11.59,11.09,11.23
DESO,2023-05-12,10.2159,10.2169,9.30878,9.79107
DESO,2023-05-13,10.91,10.97,9.46373,10.0427
DESO,2023-05-14,9.75347,11.95,9.38032,11.34
DESO,2023-05-15,11.34,11.42,10.93,11.11
DESO,2023-05-16,10.1739,10.9301,9.35921,10.9301
DESO,2023-05-17,10.9581,10.9581,10.0834,10.1316
DESO,2023-05-18,10.0347,10.4112,10.0186,10.3938
DESO,2023-05-19,10.0981,10.812,8.86874,10.4971
DESO,2023-05-20,10.4042,10.503,10.0914,10.1651
DESO,2023-05-21,10.1554,10.6253,10.1554,10.4642
DESO,2023-05-22,10.7792,10.8335,10.2105,10.2437
DESO,2023-05-23,10.2881,10.3889,10.1727,10.325
DESO,2023-05-24,10.34,10.3619,10.0003,10.0618
DESO,2023-05-25,10.0879,10.1141,9.79873,10.0733
DESO,2023-05-26,10.0802,10.203,9.87019,10.0735
DESO,2023-05-27,10.0746,10.2025,9.97529,10.0429
DESO,2023-05-28,10.0342,10.334,10.0202,10.1924
DESO,2023-05-29,10.1914,10.3983,10.1569,10.199
DESO,2023-05-30,10.2275,10.2599,9.93468,9.97539
DESO,2023-05-31,9.9857,10.2274,8.61444,9.79766
DESO,2023-06-01,9.78226,10.9527,9.6024,10.2796
DESO,2023-06-02,10.2416,10.3439,9.80195,10.1495
DESO,2023-06-03,10.181,10.1882,9.92238,10.0761
DESO,2023-06-04,10.0814,10.1064,9.83354,10.0411
DESO,2023-06-05,10.0024,10.0024,9.06786,9.33101
DESO,2023-06-06,9.3384,9.4751,8.64264,9.35806
DESO,2023-06-07,9.34382,9.52176,9.13285,9.21351
DESO,2023-06-08,9.24052,9.28096,8.98308,9.28096
DESO,2023-06-09,9.33068,9.61583,9.2243,9.37372
DESO,2023-06-10,9.3814,9.3814,8.10397,8.21476
DESO,2023-06-11,8.21462,9.02445,8.18781,8.99309
DESO,2023-06-12,9.00009,9.028,8.16349,8.70647
DESO,2023-06-13,8.7459,9.9996,8.69258,9.24898
DESO,2023-06-14,8.96,9.37221,8.84,9.07638
DESO,2023-06-15,9.07462,9.28518,8.70754,9.06818
DESO,2023-06-16,9.06408,9.11468,8.64435,8.65656
DESO,2023-06-17,8.64415,9.05233,8.62167,8.92975
DESO,2023-06-18,8.92842,8.99765,8.7166,8.82087
DESO,2023-06-19,8.76735,8.95875,8.76735,8.93623
DESO,2023-06-20,8.92615,9.04426,8.14254,8.70148
DESO,2023-06-21,8.73442,8.89707,8.50422,8.80374
DESO,2023-06-22,8.79428,9.1499,8.71585,8.81786
DESO,2023-06-23,8.40176,9.08951,8.38159,8.98101
DESO,2023-06-24,8.97591,8.9923,8.50596,8.50596
DESO,2023-06-25,8.4933,9.75,8.44924,8.81
DESO,2023-06-26,8.79,11.5548,8.51,8.56523
DESO,2023-06-27,8.71513,9.25138,8.18205,8.69957
DESO,2023-06-28,8.69335,8.99867,8.10072,8.49872
DESO,2023-06-29,8.46392,8.48111,8.09088,8.22208
DESO,2023-06-30,8.22023,8.5969,8.08079,8.25249
DESO,2023-07-01,8.24461,8.57651,8.19655,8.4365
DESO,2023-07-02,8.44052,8.49464,8.2995,8.32113
DESO,2023-07-03,8.34555,9.24823,8.32205,8.6405
DESO,2023-07-04,8.63589,8.68466,8.32617,8.50157
DESO,2023-07-05,8.501,8.87016,8.40037,8.83172
DESO,2023-07-06,8.81752,9.28731,8.50165,8.7052
DESO,2023-07-07,8.71922,9.41556,8.64007,9.15011
DESO,2023-07-08,9.15001,9.41579,8.92108,9.25157
DESO,2023-07-09,9.25208,9.25208,8.59245,8.97773
DESO,2023-07-10,8.97122,10.5007,8.79964,10.0012
DESO,2023-07-11,10.1839,10.5023,8.55983,8.95009
DESO,2023-07-12,8.94848,9.50427,8.82426,8.93133
DESO,2023-07-13,8.91533,8.99679,8.89683,8.94769
DESO,2023-07-14,8.94049,10.0043,8.90727,9.26744
DESO,2023-07-15,9.26724,9.27042,9.0047,9.03782
DESO,2023-07-16,9.03942,9.1672,9.01625,9.10539
DESO,2023-07-17,9.10649,9.86238,9.00126,9.04744
DESO,2023-07-18,9.04684,9.09578,9.0108,9.02569
DESO,2023-07-19,9.02699,9.72248,8.9733,9.04451
DESO,2023-07-20,9.04401,9.24053,8.97267,9.07168
DESO,2023-07-21,9.07128,9.2039,8.90655,8.97818
DESO,2023-07-22,8.98379,9.08328,8.9079,9.031
DESO,2023-07-23,9.02159,9.08802,8.94332,9.08033
DESO,2023-07-24,9.07712,9.08203,8.88038,8.89562
DESO,2023-07-25,8.89523,9.00542,8.88232,8.94367
DESO,2023-07-26,8.93928,8.98962,8.83402,8.93516
DESO,2023-07-27,8.93606,9.07943,8.8988,9.01197
DESO,2023-07-28,9.01497,9.1498,8.93342,9.00302
DESO,2023-07-29,9.00032,9.04741,8.90372,8.9649
DESO,2023-07-30,8.96711,9.05146,8.8558,8.8964
DESO,2023-07-31,8.89899,9.00168,8.73571,8.73611
DESO,2023-08-01,8.73741,8.82265,8.64175,8.73075
DESO,2023-08-02,8.72075,8.97641,8.67761,8.93311
DESO,2023-08-03,8.93131,9.09627,8.91453,8.97862
DESO,2023-08-04,8.98422,9.01527,8.90651,8.96397
DESO,2023-08-05,8.96847,9.09027,8.90711,9.04374
DESO,2023-08-06,9.06152,9.13183,8.99239,9.12217
DESO,2023-08-07,9.13322,9.23754,8.91801,8.99347
DESO,2023-08-08,8.98957,9.08113,8.90926,9.07924
DESO,2023-08-09,9.03994,9.09744,8.78329,8.94581
DESO,2023-08-10,8.9615,8.98948,8.84741,8.90995
DESO,2023-08-11,8.92433,9.01904,8.90321,8.95053
DESO,2023-08-12,8.94814,9.02751,8.63826,8.91402
DESO,2023-08-13,8.90762,8.98468,8.84355,8.94113
DESO,2023-08-14,8.98858,9.03565,8.84445,8.96478
DESO,2023-08-15,8.95599,9.30684,8.91542,8.99591
DESO,2023-08-16,8.99071,9.0589,8.83366,9.01479
DESO,2023-08-17,9.01019,9.02499,8.9294,8.9448
DESO,2023-08-18,8.95011,8.99064,8.48975,8.8005
DESO,2023-08-19,8.8042,8.96259,8.67001,8.85531
